ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:26:11"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     109.35663
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  9.17351E-002
  4.00000E-004	  3.81171E-002
  6.00000E-004	  2.61411E-002
  8.00000E-004	  2.86683E-002
  1.00000E-003	  2.44283E-002
  1.20000E-003	  2.62394E-002
  1.40000E-003	  2.09885E-002
  1.60000E-003	  2.23223E-002
  1.80000E-003	  2.02163E-002
  2.00000E-003	  2.63658E-002
  2.20000E-003	  1.95144E-002
  2.40000E-003	  2.04550E-002
  2.60000E-003	  2.29541E-002
  2.80000E-003	  1.72118E-002
  3.00000E-003	  1.99355E-002
  3.20000E-003	  2.01965E-002
  3.60000E-003	  2.12074E-002
  4.00000E-003	  2.48858E-002
  4.40000E-003	  2.07581E-002
  4.80000E-003	  1.56827E-002
  5.20000E-003	  1.63075E-002
  5.60000E-003	  2.25482E-002
  6.00000E-003	  2.21972E-002
  6.40000E-003	  2.08647E-002
  7.20000E-003	  2.03557E-002
  8.00000E-003	  1.84288E-002
  8.80000E-003	  1.92606E-002
  9.60000E-003	  1.55225E-002
  1.04000E-002	  1.99731E-002
  1.12000E-002	  1.62912E-002
  1.20000E-002	  2.10928E-002
  1.28000E-002	  1.72858E-002
  1.44000E-002	  1.54928E-002
  1.60000E-002	  1.56069E-002
  1.76000E-002	  1.73935E-002
  1.92000E-002	  1.64019E-002
  2.08000E-002	  1.69600E-002
  2.24000E-002	  1.72829E-002
  2.40000E-002	  1.87223E-002
  2.56000E-002	  1.56915E-002
  2.88000E-002	  1.49839E-002
  3.20000E-002	  1.31497E-002
  3.52000E-002	  1.29964E-002
  3.84000E-002	  1.26401E-002
  4.16000E-002	  1.30011E-002
  4.48000E-002	  1.06044E-002
  4.80000E-002	  1.18633E-002
  5.12000E-002	  1.13322E-002
  5.76000E-002	  9.78124E-003
  6.40000E-002	  1.11137E-002
  7.04000E-002	  9.99171E-003
  7.68000E-002	  9.77717E-003
  8.32000E-002	  7.91779E-003
  8.96000E-002	  8.58116E-003
  9.60000E-002	  7.68614E-003
  1.02400E-001	  7.14523E-003
  1.15200E-001	  7.74103E-003
  1.28000E-001	  6.50968E-003
  1.40800E-001	  5.49171E-003
  1.53600E-001	  5.22773E-003
  1.66400E-001	  5.06803E-003
  1.79200E-001	  5.27279E-003
  1.92000E-001	  4.60139E-003
  2.04800E-001	  4.00909E-003
  2.30400E-001	  3.81841E-003
  2.56000E-001	  3.87580E-003
  2.81600E-001	  3.32209E-003
  3.07200E-001	  2.88633E-003
  3.32800E-001	  3.21427E-003
  3.58400E-001	  2.59107E-003
  3.84000E-001	  2.23755E-003
  4.09600E-001	  2.75631E-003
  4.60800E-001	  2.00788E-003
  5.12000E-001	  1.84458E-003
  5.63200E-001	  1.55501E-003
  6.14400E-001	  1.43638E-003
  6.65600E-001	  1.26830E-003
  7.16800E-001	  9.81266E-004
  7.68000E-001	  9.52539E-004
  8.19200E-001	  9.83725E-004
  9.21600E-001	  1.02743E-003
  1.02400E+000	  8.50236E-004
  1.12640E+000	  1.04199E-003
  1.22880E+000	  8.10128E-004
  1.33120E+000	  9.87905E-004
  1.43360E+000	  6.68008E-004
  1.53600E+000	  2.54618E-004
  1.63840E+000	  4.79688E-004
  1.84320E+000	  5.61938E-004
  2.04800E+000	  5.22703E-004
  2.25280E+000	  3.25033E-004
  2.45760E+000	  4.44200E-004
  2.66240E+000	  2.55739E-004
  2.86720E+000	  4.34891E-004
  3.07200E+000	  4.55524E-004
  3.22560E+000	  2.54219E-004
  3.63520E+000	  1.37028E-004
  4.04480E+000	  1.21596E-004
  4.45440E+000	  3.55830E-004
  4.86400E+000	  3.54005E-004
  5.27360E+000	  1.18237E-004
  5.68320E+000	  2.58157E-004
  6.09280E+000	  2.17037E-006
  6.50240E+000	  1.58023E-004
  7.32160E+000	 -2.29943E-005
  8.14080E+000	  2.50203E-005
  8.96000E+000	  5.07757E-005
  9.77920E+000	  1.94589E-005
  1.05984E+001	 -6.09708E-005
  1.14176E+001	 -1.78960E-004
  1.22368E+001	  1.54757E-004
  1.30560E+001	  2.14501E-005
  1.46944E+001	  1.60637E-004
  1.63328E+001	  7.01318E-005
  1.79712E+001	  3.72077E-005
  1.96096E+001	  8.22542E-005
  2.12480E+001	  3.97323E-005
  2.28864E+001	  6.21311E-006
  2.45248E+001	 -5.40682E-005
  2.61632E+001	  6.10241E-005
  2.94400E+001	 -5.20563E-006
  3.27168E+001	  3.39431E-005
  3.59936E+001	  2.38825E-005
  3.92704E+001	 -1.19922E-004
  4.25472E+001	 -6.51742E-005
  4.58240E+001	 -3.50654E-005
  4.91008E+001	 -2.73788E-005
  5.23776E+001	  1.90973E-005
  5.89312E+001	 -3.93048E-005
  6.54848E+001	  3.66227E-006
  7.20384E+001	 -1.29763E-006
  7.85920E+001	 -2.77749E-005
  8.51456E+001	 -3.83063E-005
  9.16992E+001	  4.66898E-005
  9.82528E+001	  2.44437E-005
  1.04806E+002	 -9.53036E-006
  1.17914E+002	  1.92902E-005
  1.31021E+002	  3.32436E-005
  1.44128E+002	  1.81600E-005
  1.57235E+002	  1.12157E-005
  1.70342E+002	  7.43965E-006
  1.83450E+002	 -1.39310E-005
  1.96557E+002	  2.98027E-006
  2.09664E+002	 -4.33416E-006
